|object_label|target_dist|        x|        y|      flux|          dx|          dy|     dflux|        qf|     rchi2|   fracflux|   fluxlbs|  dfluxlbs|     fwhm|   spread_model|dspread_model|   fluxiso|          xiso|           yiso|          sky|       ra|       dec|coadd_id|band|          unwise_detid|  nm|primary|flags_unwise|flags_info|epoch|forward|   mjdmin|   mjdmax|  mjdmean|       mag|       dmag|
|        char|      float|    float|    float|     float|       float|       float|     float|     float|     float|      float|     float|     float|    float|          float|        float|     float|         float|          float|        float|    float|     float|    char|long|                  char|long|   long|        long|      long| long|   long|    float|    float|    float|     float|      float|
|            |     arcsec|      pix|      pix|      nMgy|         pix|         pix|      nMgy|          |          |           |      nMgy|      nMgy|      pix|               |             |          |              |               |         nMgy|      deg|       deg|        |    |                      |    |       |            |          |     |       |        d|        d|        d|       mag|        mag|
|        null|       null|     null|     null|      null|        null|        null|      null|      null|      null|       null|      null|      null|     null|           null|         null|      null|          null|           null|         null|     null|      null|    null|null|                  null|null|   null|        null|      null| null|   null|     null|     null|     null|      null|       null|
         1.19    81.54396 1444.6454 1627.0751  138.30844   0.23152363    0.2214777  18.518951        1.0  0.6455629  0.97481304  142.36855  18.886654 2.4854105   -0.0067791343   0.005062966  138.32466     -0.1232688     0.067269854    -1.0095012 133.77252 -7.2502813 1342m076    1 1342m076w1o0025294e000   15       1            0          0     0       0 55319.363 55322.473 55320.918   17.17974 0.019595161 
         1.20   40.235752 1447.3746  1612.268  150.76439   0.20754053   0.19785784  17.971218        1.0  0.5424434  0.95411587   141.3379   18.33696   2.48894     0.009748936   0.004508416   150.7668    0.009437805     0.009124397   -0.53685296 133.78392  -7.248208 1342m076    1 1342m076w1o0025341e000   16       1            0          0     0       0 55319.363 55322.473 55320.918  17.083448 0.019636914 
         1.21    86.62279 1450.5436 1566.7097  307.42245   0.10658936   0.10285353  18.977825 0.99999994  1.6877736  0.85812396  307.20938  19.356869 2.4899297  -8.3863735e-05  0.0022535399  307.19034   0.0035025391    -0.051272046   -0.45468038   133.819 -7.2458205 1342m076    1 1342m076w1o0025385e000   15       1            0          0     0       0 55319.363 55322.473 55320.918   16.29488 0.019561378 
         1.22   0.6487686 1451.2427 1598.0216  325.03137  0.100850165   0.09655591  18.811903  1.0000001  1.2575719   0.8820342   321.5521  19.183342 2.4837983    0.0050319433  0.0021710165   324.9516    0.042321738     0.020822776    -0.4937667 133.79489  -7.245264 1342m076    1 1342m076w1o0025403e000   15       1            0          0     0       0 55319.363 55322.473 55320.918  16.233631 0.019573472 
         1.23   42.488213 1452.2712 1582.7731  239.99544    0.1405393   0.13289794  19.418736        1.0 0.44627973  0.96843374  240.38998  19.803942 2.4869564    -0.001621604  0.0030232246  240.01405    0.014688348     0.017738493    -0.8151226 133.80664 -7.2444897 1342m076    1 1342m076w1o0025422e000   14       1            0          0     0       0 55319.363 55322.473 55320.918  16.567741 0.019529877 
         1.24    85.31096 1453.8135 1567.2695  245.33023   0.13755599   0.12941429  19.381695        1.0   2.501071  0.87596244  243.21127  19.757051  2.486859    0.0075263977  0.0030072266  245.45801    -0.15510638      0.12241132    -0.7012753 133.81857 -7.2433224 1342m076    1 1342m076w1o0025443e000   14       1            0          0     0       0 55319.363 55322.473 55320.918   16.54347 0.019532489 
         1.25    75.31873 1454.1521  1570.948  145.26183   0.22869487    0.2187165  19.149944        1.0 0.62481594   0.8762402  140.28212  19.527206 2.4829316    0.0027685761    0.00493275  145.25594   -0.010781656     0.004785257   -0.80929285 133.81575  -7.243061 1342m076    1 1342m076w1o0025464e000   14       1            0          0     0       0 55319.363 55322.473 55320.918  17.124937 0.019548973 
         1.26   47.112003  1456.531 1614.5457  289.86536    0.1118898   0.10673225  18.715118        1.0 0.28148884   0.9927839  297.93338  19.092949  2.492439   -0.0037237406  0.0023651633  289.87698   -0.012583933    -0.019687604    -1.3603045 133.78218  -7.241212 1342m076    1 1342m076w1o0025504e000   15       1            0          0     0       0 55319.363 55322.473 55320.918  16.359596 0.019580591 
         1.27    83.76598 1455.7532 1628.3496  125.79102   0.26321432   0.25415012  19.165092  1.0000001  0.5151195   0.9727338  128.98956  19.542482 2.4891634    0.0070815086    0.00568202 125.781425    0.009122288     0.024673441    -2.0509956 133.77155 -7.2417955 1342m076    1 1342m076w1o0025505e000   14       1            0          0     0       0 55319.363 55322.473 55320.918  17.285961 0.019547887 
         1.28    17.95609 1456.8943  1594.675   555.9388  0.061302796  0.058283567  20.050943  1.0000001  0.7904938  0.98167336  548.01483  20.435295 2.4872537    -0.001506269  0.0013657514   555.9483  -0.0045371586    -0.005926993    -0.9069692 133.79749 -7.2409496 1342m076    1 1342m076w1o0025524e000   13       1            0          0     0       0 55319.363 55322.473 55320.918  15.645272 0.019486248 
         1.29   44.220142 1459.6149 1584.3768  270.26672     0.123605   0.11877935  19.312355  0.9999999 0.56942433   0.9379638  268.79956  19.696274  2.491116    0.0025026202  0.0026069062  270.27985   -0.013925339     0.014396828    -1.4669689  133.8054  -7.238879 1342m076    1 1342m076w1o0025557e000   14       1            0          0     0       0 55319.363 55322.473 55320.918  16.436708 0.019537395 
